Displayname ,station_name,topic_heartbeat,topic_heartbeatPI5,topic_meter,topic_PowerModule,topic_Router,Number of Charger heads,topic_PLCData,collection_PowerModule,collection_Meter,collection_Router,collection_StatePLC,collection_HeartbeatFallingEdge,expectedPmHead1,expectedPmHead2,topic_fanRPM
KaengKhoi2,KaengKhoi2,OCPP/Elex_PT_KaengKhoi2_1/heartbeat,OCPP/KaengKhoi2/heartbeatPI5,OCPP/Elex_PT_KaengKhoi2_1/meter,OCPP/KaengKhoi2/PowerModule,KaengKhoi2,2,OCPP/KaengKhoi2/PLC,KaengKhoi2,KaengKhoi2,KaengKhoi2,KaengKhoi2,KaengKhoi2,2,3,KaengKhoi2/RPM
KamphaengPhet,KamphaengPhet,OCPP/Elex_PT_KamphaengPhet_1/heartbeat,OCPP/KamphaengPhet/heartbeatPI5,OCPP/Elex_PT_KamphaengPhet_1/meter,OCPP/KamphaengPhet/PowerModule,KamphaengPhet,2,OCPP/KamphaengPhet/PLC,KamphaengPhet,KamphaengPhet_1,KamphaengPhet,KamphaengPhet,KamphaengPhet,2,3,KamphaengPhet/RPM
KamphaengPhet2,KamphaengPhet2,OCPP/Elex_PT_KamphaengPhet2_1/heartbeat,OCPP/KamphaengPhet2/heartbeatPI5,OCPP/Elex_PT_KamphaengPhet2_1/meter,OCPP/KamphaengPhet2/PowerModule,KamphaengPhet2,2,OCPP/KamphaengPhet2/PLC,KamphaengPhet2,KamphaengPhet2,KamphaengPhet2,KamphaengPhet2,KamphaengPhet2,2,3,KamphaengPhet2/RPM
Kanchanapisek1,Kanchanapisek1,OCPP/EleX_PT100_Kanchanapisek1_DC_1/heartbeat,OCPP/Kanchanapisek1/heartbeatPI5,OCPP/EleX_PT100_Kanchanapisek1_DC_1/meter,OCPP/Kanchanapisek1/PowerModule,Kanchanapisek1,2,OCPP/Kanchanapisek1/PLC,Kanchanapisek1,Kanchanapisek1,Kanchanapisek1,Kanchanapisek1,Kanchanapisek1,2,3,Kanchanapisek1/RPM
Kanchanapisek2,Kanchanapisek2,OCPP/Kanchanapisek2/heartbeat,OCPP/Kanchanapisek2/heartbeatPI5,OCPP/Kanchanapisek2/meter,OCPP/Kanchanapisek2/PowerModule,Kanchanapisek2,2,OCPP/Kanchanapisek2/PLC,Kanchanapisek2,Kanchanapisek2,Kanchanapisek2,Kanchanapisek2,Kanchanapisek2,2,3,Kanchanapisek2/RPM
KhaoKhansong,KhaoKhansong,OCPP/PT100_KhaoKhansong/heartbeat,OCPP/KhaoKhansong/heartbeatPI5,OCPP/PT100_KhaoKhansong/meter,OCPP/KhaoKhansong/PowerModule,Khaokhansong,2,OCPP/KhaoKhansong/PLC,KhaoKhansong,KhaoKhansong,KhaoKhansong,KhaoKhansong,KhaoKhansong,2,3,Khaokhansong/RPM
KhaoYoi,KhaoYoi,OCPP/KhaoYoi/heartbeat,OCPP/KhaoYoi/heartbeatPI5,OCPP/KhaoYoi/meter,OCPP/KhaoYoi/PowerModule,KhaoYoi,2,OCPP/KhaoYoi/PLC,KhaoYoi,KhaoYoi,KhaoYoi,KhaoYoi,KhaoYoi,2,3,KhaoYoi/RPM
KhlongLuang6,KhlongLuang6,OCPP/PT100_Klongluang6/heartbeat,OCPP/KhlongLuang6/heartbeatPI5,OCPP/PT100_Klongluang6/meter,OCPP/KhlongLuang6/PowerModule,Luang6,2,OCPP/KhlongLuang6/PLC,KhlongLuang6,Klongluang6,KhlongLuang6,KhlongLuang6,KhlongLuang6,2,3,Luang6/RPM
KingKaew2,KingKaew2,OCPP/Elex_KingKaew2_1/heartbeat,OCPP/KingKaew2/heartbeatPI5,OCPP/Elex_KingKaew2_1/meter,OCPP/KingKaew2/PowerModule,KingKaew2,2,OCPP/KingKaew2/PLC,KingKaew2,KingKaew2,KingKaew2,KingKaew2,KingKaew2,2,3,KingKaew2/RPM
Klaeng11,Klaeng11,OCPP/PT100_Klaeng11_DC_1/heartbeat,OCPP/Klaeng11/heartbeatPI5,OCPP/PT100_Klaeng11_DC_1/meter,OCPP/Klaeng11/PowerModule,Klaeng11,2,OCPP/Klaeng11/PLC,Klaeng11,Klaeng11,Klaeng11,Klaeng11,Klaeng11,2,3,Klaeng11/RPM
